date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:09	52850/52850	---M--	200	added ('OK')	image/jpeg	etag:%2202f44bc8426d31:0%22	http://www.kurtaghar.com/assets/img/product/front-6.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/front-6.jpg	(from http://www.kurtaghar.com/)
13:57:11	31408/31408	---M--	200	added ('OK')	image/jpeg	etag:%2209a9043aa30d31:0%22	http://www.kurtaghar.com/assets/img/product/front-8.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/front-8.jpg	(from http://www.kurtaghar.com/)
13:57:15	40654/40654	---M--	200	added ('OK')	image/jpeg	etag:%220ade427a26d31:0%22	http://www.kurtaghar.com/assets/img/product/front-9.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/front-9.jpg	(from http://www.kurtaghar.com/)
13:57:17	41756/41756	---M--	200	added ('OK')	image/jpeg	etag:%220508ca0aa30d31:0%22	http://www.kurtaghar.com/assets/img/product/front-10.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/front-10.jpg	(from http://www.kurtaghar.com/)
13:57:18	39721/39721	---M--	200	added ('OK')	image/jpeg	etag:%220ef2c33ab30d31:0%22	http://www.kurtaghar.com/assets/img/product/front-11.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/front-11.jpg	(from http://www.kurtaghar.com/)
13:57:21	56623/56623	---M--	200	added ('OK')	image/jpeg	etag:%22031afd7ab30d31:0%22	http://www.kurtaghar.com/assets/img/product/front-12.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/front-12.jpg	(from http://www.kurtaghar.com/)
13:57:24	36195/36195	---M--	200	added ('OK')	image/jpeg	etag:%220435c78126d31:0%22	http://www.kurtaghar.com/assets/img/product/back-2.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/back-2.jpg	(from http://www.kurtaghar.com/)
13:57:31	26525/26525	---M--	200	added ('OK')	image/jpeg	etag:%22071992f8426d31:0%22	http://www.kurtaghar.com/assets/img/product/back-5.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/back-5.jpg	(from http://www.kurtaghar.com/)
13:57:31	54356/54356	---M--	200	added ('OK')	image/jpeg	etag:%220a47a478238d31:0%22	http://www.kurtaghar.com/assets/img/product/back-4.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/back-4.jpg	(from http://www.kurtaghar.com/)
13:57:38	33976/33976	---M--	200	added ('OK')	image/jpeg	etag:%220877dd7a26d31:0%22	http://www.kurtaghar.com/assets/img/product/back-7.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/back-7.jpg	(from http://www.kurtaghar.com/)
13:57:39	48903/48903	---M--	200	added ('OK')	image/jpeg	etag:%220ff56cf8426d31:0%22	http://www.kurtaghar.com/assets/img/product/back-6.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/back-6.jpg	(from http://www.kurtaghar.com/)
13:57:44	33572/33572	---M--	200	added ('OK')	image/jpeg	etag:%2208e4487a26d31:0%22	http://www.kurtaghar.com/assets/img/product/back-9.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/back-9.jpg	(from http://www.kurtaghar.com/)
13:57:45	33602/33602	---M--	200	added ('OK')	image/jpeg	etag:%220bf946892ed31:0%22	http://www.kurtaghar.com/assets/img/collection/4.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/4.jpg	(from http://www.kurtaghar.com/)
13:57:48	221328/221328	---M--	200	added ('OK')	image/jpeg	etag:%22547f6fdb79cdd31:0%22	http://www.kurtaghar.com/assets/img/banners/1.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/banners/1.jpg	(from http://www.kurtaghar.com/)
13:57:51	46325/46325	---M--	200	added ('OK')	image/jpeg	etag:%2208817341a33d31:0%22	http://www.kurtaghar.com/assets/img/collection/4-xs.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/4-xs.jpg	(from http://www.kurtaghar.com/)
13:57:56	58541/58541	---M--	200	added ('OK')	image/jpeg	etag:%220c4ddc08a2ed31:0%22	http://www.kurtaghar.com/assets/img/collection/2.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/2.jpg	(from http://www.kurtaghar.com/)
13:57:58	60068/60068	---M--	200	added ('OK')	image/jpeg	etag:%22031711d1a33d31:0%22	http://www.kurtaghar.com/assets/img/collection/3-xs.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/3-xs.jpg	(from http://www.kurtaghar.com/)
13:58:01	60058/60058	---M--	200	added ('OK')	image/jpeg	etag:%220f2c0868b2ed31:0%22	http://www.kurtaghar.com/assets/img/collection/3.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/3.jpg	(from http://www.kurtaghar.com/)
13:58:05	54163/54163	---M--	200	added ('OK')	image/jpeg	etag:%220208e2a1a33d31:0%22	http://www.kurtaghar.com/assets/img/collection/2-xs.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/2-xs.jpg	(from http://www.kurtaghar.com/)
13:58:08	33057/33057	---M--	200	added ('OK')	image/jpeg	etag:%220507b171a33d31:0%22	http://www.kurtaghar.com/assets/img/collection/1-xs.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/1-xs.jpg	(from http://www.kurtaghar.com/)
13:58:13	378592/378592	---M--	200	added ('OK')	image/jpeg	etag:%229456da79cdd31:0%22	http://www.kurtaghar.com/assets/img/banners/2.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/banners/2.jpg	(from http://www.kurtaghar.com/)
13:58:16	115088/115088	---M--	200	added ('OK')	image/jpeg	etag:%2208fc6e34623d31:0%22	http://www.kurtaghar.com/assets/img/collection/1.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/collection/1.jpg	(from http://www.kurtaghar.com/)
13:58:19	5642/5642	---M--	200	added ('OK')	image/png	etag:%2207c33e0e28d31:0%22	http://www.kurtaghar.com/assets/img/partner/1.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/1.png	(from http://www.kurtaghar.com/)
13:58:21	5605/5605	---M--	200	added ('OK')	image/png	etag:%22073ff1cf28d31:0%22	http://www.kurtaghar.com/assets/img/partner/2.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/2.png	(from http://www.kurtaghar.com/)
13:58:22	5637/5637	---M--	200	added ('OK')	image/png	etag:%220aeb1871128d31:0%22	http://www.kurtaghar.com/assets/img/partner/3.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/3.png	(from http://www.kurtaghar.com/)
13:58:23	114185/114185	---M--	200	added ('OK')	image/jpeg	etag:%220cd767ed92fd31:0%22	http://www.kurtaghar.com/assets/img/all/wa-blog-01.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/all/wa-blog-01.jpg	(from http://www.kurtaghar.com/)
13:58:24	5638/5638	---M--	200	added ('OK')	image/png	etag:%220caff951128d31:0%22	http://www.kurtaghar.com/assets/img/partner/4.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/4.png	(from http://www.kurtaghar.com/)
13:58:25	5597/5597	---M--	200	added ('OK')	image/png	etag:%22040b0a61128d31:0%22	http://www.kurtaghar.com/assets/img/partner/5.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/5.png	(from http://www.kurtaghar.com/)
13:58:25	116766/116766	---M--	200	added ('OK')	image/jpeg	etag:%2201b67c99026d31:0%22	http://www.kurtaghar.com/assets/img/all/wa-blog-2.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/all/wa-blog-2.jpg	(from http://www.kurtaghar.com/)
13:58:25	5602/5602	---M--	200	added ('OK')	image/png	etag:%2205cfeb41128d31:0%22	http://www.kurtaghar.com/assets/img/partner/6.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/6.png	(from http://www.kurtaghar.com/)
13:58:26	5605/5605	---M--	200	added ('OK')	image/png	etag:%22073ff1cf28d31:0%22	http://www.kurtaghar.com/assets/img/partner/7.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/7.png	(from http://www.kurtaghar.com/)
13:58:27	5638/5638	---M--	200	added ('OK')	image/png	etag:%220caff951128d31:0%22	http://www.kurtaghar.com/assets/img/partner/8.png	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/partner/8.png	(from http://www.kurtaghar.com/)
13:58:27	122918/122918	---M--	200	added ('OK')	image/jpeg	etag:%2203eb2429026d31:0%22	http://www.kurtaghar.com/assets/img/all/wa-blog-3.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/all/wa-blog-3.jpg	(from http://www.kurtaghar.com/)
13:58:43	99851/99851	---M--	200	added ('OK')	image/jpeg	etag:%2207c8ea9026d31:0%22	http://www.kurtaghar.com/assets/img/all/wa-blog-4.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/all/wa-blog-4.jpg	(from http://www.kurtaghar.com/)
13:58:43	112704/112704	---M--	200	added ('OK')	image/jpeg	etag:%2208ac0c8f26d31:0%22	http://www.kurtaghar.com/assets/img/all/wa-blog-1.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/all/wa-blog-1.jpg	(from http://www.kurtaghar.com/)
13:58:47	120171/120171	---M--	200	added ('OK')	image/jpeg	etag:%220fc5ccf9026d31:0%22	http://www.kurtaghar.com/assets/img/all/wa-blog-5.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/all/wa-blog-5.jpg	(from http://www.kurtaghar.com/)
13:58:48	125728/125728	---M--	200	added ('OK')	image/jpeg	etag:%220a4243933d31:0%22	http://www.kurtaghar.com/assets/img/all/wa-blog-6.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/all/wa-blog-6.jpg	(from http://www.kurtaghar.com/)
13:58:57	49052/49052	---M--	200	added ('OK')	image/jpeg	etag:%22032aa751e33d31:0%22	http://www.kurtaghar.com/assets/img/product/8.jpg	C:/My%20Web%20Sites/http___www.kurtaghar.com_/www.kurtaghar.com/assets/img/product/8.jpg	(from http://www.kurtaghar.com/)
